03/09/2018 08:45:20.831 ["Hubble Job Quartz Scheduler"_Worker-1] WARN  h.b.p.p.i.ppm.PpmDataParserImpl - Ppm field for applications and ids map not correctly configured in properties file for specified app name:  
03/09/2018 08:45:20.833 ["Hubble Job Quartz Scheduler"_Worker-1] WARN  h.b.p.p.i.ppm.PpmDataParserImpl - Ppm field for applications and ids map not correctly configured in properties file for specified app name:  
03/09/2018 08:45:21.267 ["Hubble Job Quartz Scheduler"_Worker-1] WARN  h.b.p.p.i.ppm.PpmDataParserImpl - Ppm field for applications and ids map not correctly configured in properties file for specified app name: Banca Móvil 
03/09/2018 08:45:21.294 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de ppm. Resultado: SUCCESS 
03/09/2018 08:45:21.295 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de ppm. Resultado: SUCCESS 
03/09/2018 08:45:21.296 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de ppm. Resultado: SUCCESS 
03/09/2018 08:50:26.623 ["Hubble Job Quartz Scheduler"_Worker-4] ERROR h.b.p.t.i.s.SiteScopeTransportImpl - org.apache.http.conn.ConnectTimeoutException: Connect to 10.10.20.248:8080 [/10.10.20.248] failed: connect timed out 
03/09/2018 08:50:26.630 ["Hubble Job Quartz Scheduler"_Worker-4] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: FAILURE 
03/09/2018 08:50:26.633 ["Hubble Job Quartz Scheduler"_Worker-4] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: FAILURE 
03/09/2018 08:50:26.635 ["Hubble Job Quartz Scheduler"_Worker-4] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: FAILURE 
